,Sub name,Model Score,Model Alpha,Model Beta
0,1121_6,36.99668626681222,0.45,0.25
1,1129_3,44.910936113217645,0.30000000000000004,0.4
2,1116_4,45.63599877601936,0.25,0.4
3,1117_6,44.11226597452339,0.4,0.45
4,1206_6,47.56,0.0,0.4
5,1117_16,37.80468887021874,0.4,0.25
6,1121_12,48.3610142592873,0.15000000000000002,0.5
7,1105_1,42.2524020385286,0.25,0.35000000000000003
8,1121_7,48.221965490885296,0.1,0.45
9,1120_5,40.10114195408347,0.4,0.35000000000000003
10,1206_1,48.85231074013761,0.05,0.5
11,1117_11,46.53020428839375,0.15000000000000002,0.4
12,1116_9,41.63487025094268,0.35000000000000003,0.35000000000000003
13,1128_4,47.43705860232775,0.1,0.6000000000000001
14,1115_6,44.53102223037289,0.30000000000000004,0.6000000000000001
