,Subname,FB,F1,F1-,FN,S2,D2,S3,D3,CN
0,1128_1,13.21868752050795,13.118946388413756,13.037030146766188,12.615855035666714,13.115923192468681,13.370592188213628,12.997684005318435,12.983007608033425,12.611647792381348
1,1205_2,4.513409596602781,4.604198904948344,4.437759024226124,3.964878325539422,4.96574315478307,5.046939299710883,4.864941232952148,4.7354211349078215,4.481657690393479
2,1120_4,6.703867162637864,5.611051977921361,5.350799973791562,6.241280204587411,6.477296006793166,6.036051965435097,6.5471265285102636,6.232992574940626,6.566072542224064
3,1115_5,0.8822191881468905,1.2851969753036818,1.5513384209242544,1.8327105504009902,1.3468051778756431,1.4992727976589633,1.2258956063939288,1.07099507230346,0.9840427842331148
4,1121_5,0.5894100987445892,1.256755917663243,1.5940877916272354,2.9068908054226568,0.43847149298051735,0.3667164794080551,0.5266263370261988,0.6490184639946934,0.9982401061623439
5,1117_10,5.00301116677167,3.9643345039387152,4.2349350013954,5.797763426447021,5.286004442450737,4.601180304411226,5.4450943363710325,4.936757633806939,5.630522788691572
6,1116_8,38.800000000000004,38.800000000000004,38.800000000000004,38.8,38.800000000000004,38.800000000000004,38.800000000000004,38.800000000000004,38.800000000000004
7,1117_15,3.9771433172859654,3.3230834234848414,2.8650838631638518,1.8283611284682528,5.153109632933731,5.224722428847909,4.901450964612478,4.33438853866182,3.7374745374749665
8,1206_5,14.495743203934245,14.792845214563393,14.82657882357708,14.594088101752824,15.344030257663276,15.292790643847532,15.336895854488297,15.27417362320746,15.15149974323678
9,1116_2,7.863810151077669,7.952558163855949,8.04284279806382,7.910685557602887,9.089411744805638,8.744373114910829,9.036434910583989,8.560381734818954,8.501068607939485
10,1121_11,0.9262270992435762,1.3680665807521732,1.5780235022842433,2.8675715885788318,0.637053933575985,0.5229680702816529,0.7112185361936381,0.7684986738933786,1.1897173409961013
11,1120_10,5.716759559362187,3.88210864784428,3.7073789614422465,4.39061615597804,5.273576805208278,5.16048266133565,5.0830471208060555,4.568323516973627,4.396649972801198
12,1129_1,5.163774770833842,5.081057922620395,5.07884466275875,5.460484217586225,4.9275951782033,4.973704999824632,4.799381759959539,4.747877662702496,4.581667150385403
13,1117_4,12.797258945784177,13.400417583386407,13.477574605600331,12.507646957349163,13.484792807635937,13.376963932142102,13.555472605709577,13.36249551980292,13.663566739796874
